model,base_family,params_b,params_note,params_source_url,pretrain_tokens,pretrain_tokens_source_url,pretrain_compute_zflops
DeepSeek-Coder-V2-Lite-Instruct,deepseek-v2,,,,8100000000000.0,https://arxiv.org/pdf/2405.04434,
DeepSeek-R1-Distill-Qwen-32B,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
DeepSeek-V2-Lite-Chat,deepseek-v2,,,,8100000000000.0,https://arxiv.org/pdf/2405.04434,
Dracarys2-72B-Instruct,qwen2.5,72.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,7776.0
Llama-2-7b-chat-hf,llama-2,7.0,,,2000000000000.0,https://arxiv.org/pdf/2307.09288,83.99999999999999
Llama-3.1-Nemotron-70B-Instruct-HF,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
Meta-Llama-3-70B-Instruct,llama-3,70.0,,,15000000000000.0,https://ai.meta.com/blog/meta-llama-3/,6300.0
Meta-Llama-3-8B-Instruct,llama-3,8.0,,,15000000000000.0,https://ai.meta.com/blog/meta-llama-3/,720.0
Meta-Llama-3.1-405B-Instruct-Turbo,llama-3.1,405.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,36450.0
Meta-Llama-3.1-70B-Instruct-Turbo,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
Meta-Llama-3.1-8B-Instruct-Turbo,llama-3.1,8.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,720.0
Mistral-7B-Instruct-v0.2,mistral-7b,7.0,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
Mistral-7B-Instruct-v0.3,mistral-7b,7.0,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
Mixtral-8x22B-Instruct-v0.1,mixtral-8x22b,39.1,MoE 8x22B (total≈140.6B; active≈39.1B),https://docs.mistral.ai/getting-started/models/weights/,,https://mistral.ai/news/mixtral-8x22b,
Mixtral-8x7B-Instruct-v0.1,mixtral-8x7b,12.9,MoE 8x7B (total≈46.7B; active≈12.9B),https://docs.mistral.ai/getting-started/models/weights/,,https://mistral.ai/news/mixtral-of-experts,
OpenHermes-2.5-Mistral-7B,mistral-7b,7.0,,https://mistral.ai/news/announcing-mistral-7b,,https://mistral.ai/news/announcing-mistral-7b,
Phi-3-medium-128k-instruct,phi-3-medium,,,,4800000000000.0,https://ritvik19.medium.com/papers-explained-130-phi-3-0dfc951dc404,
Phi-3-medium-4k-instruct,phi-3-medium,,,,4800000000000.0,https://ritvik19.medium.com/papers-explained-130-phi-3-0dfc951dc404,
Phi-3-mini-128k-instruct,phi-3-mini,,,,3300000000000.0,https://arxiv.org/pdf/2404.14219,
Phi-3-mini-4k-instruct,phi-3-mini,,,,3300000000000.0,https://arxiv.org/pdf/2404.14219,
Phi-3-small-128k-instruct,phi-3-small,,,,4800000000000.0,https://ritvik19.medium.com/papers-explained-130-phi-3-0dfc951dc404,
Phi-3-small-8k-instruct,phi-3-small,,,,4800000000000.0,https://ritvik19.medium.com/papers-explained-130-phi-3-0dfc951dc404,
Phi-3.5-MoE-instruct,phi-3-mini,,,,3300000000000.0,https://arxiv.org/pdf/2404.14219,
Phi-3.5-mini-instruct,phi-3-mini,,,,3300000000000.0,https://arxiv.org/pdf/2404.14219,
QwQ-32B-Preview,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
Qwen1.5-0.5B-Chat,qwen1.5,0.5,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,9.0
Qwen1.5-1.8B-Chat,qwen1.5,1.8,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,32.4
Qwen1.5-110B-Chat,qwen1.5,110.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,1980.0
Qwen1.5-4B-Chat,qwen1.5,4.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,72.0
Qwen1.5-72B-Chat,qwen1.5,72.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,1296.0
Qwen1.5-7B-Chat,qwen1.5,7.0,,,3000000000000.0,https://arxiv.org/html/2407.10671v1,126.0
Qwen2-0.5B-Instruct,qwen2,0.5,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,20.999999999999996
Qwen2-1.5B-Instruct,qwen2,1.5,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,63.0
Qwen2-72B-Instruct,qwen2,72.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,3024.0
Qwen2-7B-Instruct,qwen2,7.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,294.0
Qwen2.5-72B-Instruct-Turbo,qwen2.5,72.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,7776.0
Qwen2.5-7B-Instruct-Turbo,qwen2.5,7.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,756.0
Qwen2.5-Coder-32B-Instruct,qwen2.5,32.0,,,18000000000000.0,https://arxiv.org/pdf/2412.15115,3456.0000000000005
Reflection-Llama-3.1-70B,llama-3.1,70.0,,,15000000000000.0,https://huggingface.co/meta-llama/Llama-3.1-405B,6300.0
Smaug-Qwen2-72B-Instruct,qwen2,72.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,3024.0
Starling-LM-7B-beta,unknown/closed,7.0,,,,,
Yi-6B-Chat,yi,6.0,,,3000000000000.0,https://huggingface.co/01-ai/Yi-6B,108.00000000000001
acm_rewrite_qwen2-72B-Chat,qwen2,72.0,,,7000000000000.0,https://arxiv.org/html/2407.10671v1,3024.0
amazon.nova-lite-v1:0,unknown/closed,,,,,,
amazon.nova-micro-v1:0,unknown/closed,,,,,,
amazon.nova-pro-v1:0,unknown/closed,,,,,,
