model,category,task,metric,value
DeepSeek-Coder-V2-Lite-Instruct,coding,LCB_generation,pass@1,0.2948717948717949
DeepSeek-Coder-V2-Lite-Instruct,coding,coding_completion,pass@1,0.2
DeepSeek-Coder-V2-Lite-Instruct,instruction_following,story_generation,combined_score,0.5576923076923077
DeepSeek-Coder-V2-Lite-Instruct,language,connections,accuracy,0.005
DeepSeek-Coder-V2-Lite-Instruct,language,plot_unscrambling,score,0.11405676321743892
DeepSeek-Coder-V2-Lite-Instruct,language,typos,accuracy,0.2
DeepSeek-R1-Distill-Qwen-32B,coding,LCB_generation,pass@1,0.5769230769230769
DeepSeek-R1-Distill-Qwen-32B,coding,coding_completion,pass@1,0.08
DeepSeek-R1-Distill-Qwen-32B,instruction_following,paraphrase,combined_score,0.3481666666666666
DeepSeek-R1-Distill-Qwen-32B,language,connections,accuracy,0.2583333333333333
DeepSeek-R1-Distill-Qwen-32B,language,plot_unscrambling,score,0.21945308075850675
DeepSeek-R1-Distill-Qwen-32B,language,typos,accuracy,0.32
DeepSeek-V2-Lite-Chat,coding,LCB_generation,pass@1,0.10256410256410256
DeepSeek-V2-Lite-Chat,coding,coding_completion,pass@1,0.04
DeepSeek-V2-Lite-Chat,instruction_following,story_generation,combined_score,0.5673076923076923
DeepSeek-V2-Lite-Chat,language,connections,accuracy,0.02
DeepSeek-V2-Lite-Chat,language,plot_unscrambling,score,0.09613327985687414
DeepSeek-V2-Lite-Chat,language,typos,accuracy,0.16
Dracarys2-72B-Instruct,instruction_following,paraphrase,combined_score,0.645
Dracarys2-72B-Instruct,language,connections,accuracy,0.27666666666666667
Llama-2-7b-chat-hf,coding,LCB_generation,pass@1,0.02564102564102564
Llama-2-7b-chat-hf,coding,coding_completion,pass@1,0.0
Llama-2-7b-chat-hf,instruction_following,story_generation,combined_score,0.45032051282051283
Llama-2-7b-chat-hf,language,connections,accuracy,0.0
Llama-2-7b-chat-hf,language,plot_unscrambling,score,0.10576235316112852
Llama-2-7b-chat-hf,language,typos,accuracy,0.1
Llama-3.1-Nemotron-70B-Instruct-HF,instruction_following,paraphrase,combined_score,0.5285
Llama-3.1-Nemotron-70B-Instruct-HF,language,connections,accuracy,0.25666666666666665
Meta-Llama-3-70B-Instruct,coding,LCB_generation,pass@1,0.32051282051282054
Meta-Llama-3-70B-Instruct,coding,coding_completion,pass@1,0.12
Meta-Llama-3-70B-Instruct,instruction_following,story_generation,combined_score,0.7900641025641026
Meta-Llama-3-70B-Instruct,language,connections,accuracy,0.31166666666666665
Meta-Llama-3-70B-Instruct,language,plot_unscrambling,score,0.3115354214751237
Meta-Llama-3-70B-Instruct,language,typos,accuracy,0.4
Meta-Llama-3-8B-Instruct,coding,LCB_generation,pass@1,0.2564102564102564
Meta-Llama-3-8B-Instruct,coding,coding_completion,pass@1,0.14
Meta-Llama-3-8B-Instruct,instruction_following,story_generation,combined_score,0.6378205128205128
Meta-Llama-3-8B-Instruct,language,connections,accuracy,0.2033333333333333
Meta-Llama-3-8B-Instruct,language,plot_unscrambling,score,0.15823118001049494
Meta-Llama-3-8B-Instruct,language,typos,accuracy,0.2
Meta-Llama-3.1-405B-Instruct-Turbo,coding,LCB_generation,pass@1,0.4358974358974359
Meta-Llama-3.1-405B-Instruct-Turbo,coding,coding_completion,pass@1,0.44
Meta-Llama-3.1-405B-Instruct-Turbo,instruction_following,story_generation,combined_score,0.7772435897435896
Meta-Llama-3.1-405B-Instruct-Turbo,language,connections,accuracy,0.44166666666666665
Meta-Llama-3.1-405B-Instruct-Turbo,language,plot_unscrambling,score,0.47377255621435543
Meta-Llama-3.1-405B-Instruct-Turbo,language,typos,accuracy,0.58
Meta-Llama-3.1-70B-Instruct-Turbo,coding,LCB_generation,pass@1,0.3333333333333333
Meta-Llama-3.1-70B-Instruct-Turbo,coding,coding_completion,pass@1,0.32
Meta-Llama-3.1-70B-Instruct-Turbo,instruction_following,story_generation,combined_score,0.8669871794871795
Meta-Llama-3.1-70B-Instruct-Turbo,language,connections,accuracy,0.41666666666666663
Meta-Llama-3.1-70B-Instruct-Turbo,language,plot_unscrambling,score,0.3942154506791578
Meta-Llama-3.1-70B-Instruct-Turbo,language,typos,accuracy,0.46
Meta-Llama-3.1-8B-Instruct-Turbo,coding,LCB_generation,pass@1,0.2948717948717949
Meta-Llama-3.1-8B-Instruct-Turbo,coding,coding_completion,pass@1,0.1
Meta-Llama-3.1-8B-Instruct-Turbo,instruction_following,story_generation,combined_score,0.5384615384615384
Meta-Llama-3.1-8B-Instruct-Turbo,language,connections,accuracy,0.13166666666666665
Meta-Llama-3.1-8B-Instruct-Turbo,language,plot_unscrambling,score,0.1697514314452753
Meta-Llama-3.1-8B-Instruct-Turbo,language,typos,accuracy,0.3
Mistral-7B-Instruct-v0.2,coding,LCB_generation,pass@1,0.21794871794871795
Mistral-7B-Instruct-v0.2,coding,coding_completion,pass@1,0.06
Mistral-7B-Instruct-v0.2,instruction_following,story_generation,combined_score,0.6282051282051282
Mistral-7B-Instruct-v0.2,language,connections,accuracy,0.06166666666666667
Mistral-7B-Instruct-v0.2,language,plot_unscrambling,score,0.12997591432731098
Mistral-7B-Instruct-v0.2,language,typos,accuracy,0.08
Mistral-7B-Instruct-v0.3,coding,LCB_generation,pass@1,0.1794871794871795
Mistral-7B-Instruct-v0.3,coding,coding_completion,pass@1,0.04
Mistral-7B-Instruct-v0.3,instruction_following,story_generation,combined_score,0.530448717948718
Mistral-7B-Instruct-v0.3,language,connections,accuracy,0.06166666666666666
Mistral-7B-Instruct-v0.3,language,plot_unscrambling,score,0.15391527196971627
Mistral-7B-Instruct-v0.3,language,typos,accuracy,0.14
Mixtral-8x22B-Instruct-v0.1,coding,LCB_generation,pass@1,0.32
Mixtral-8x22B-Instruct-v0.1,coding,coding_completion,pass@1,0.34210526315789475
Mixtral-8x22B-Instruct-v0.1,instruction_following,story_generation,combined_score,0.7419871794871795
